date,platform,country,review,star,user_id,issue_flag,likes_count,dislike_count,label
07/07/2023,iOS,Australia,Love the itinerary sharing feature. It makes planning group trips so much easier!,5,13c95471-be12-42f6-95d1-fa3dd104909b,No,1,1,Premium Features
12/08/2023,Android,India,"The premium price is a bit high, but the features are okay.",4,945725ef-7277-4884-b717-9259af1df8d2,No,2,2,Premium Features
12/09/2023,iOS,UK,"I can't share my trip details via WhatsApp directly, which would be a great feature.",5,e3d956b8-6e00-4099-84ca-f51406e6b3f7,No,5,3,User Feedbacks & Recommendations
12/07/2023,Android,Brazil,"The price of premium is too high, could be better.",3,1fa559f7-a707-4f23-97f9-1cb92a0ba85b,No,0,0,Premium Features
24/09/2023,iOS,India,Smooth booking experience.,3,67934645-a9bf-4283-b809-1baa3f067b19,No,2,5,General Topics
20/09/2023,Android,USA,Premium access is affordable and totally enhances the app experience.,2,ea1c9752-8de7-4083-bf38-37ba333897d0,No,4,1,Premium Features
14/07/2023,Android,USA,"Minimal ads, they don't really bother me.",3,75ed9c45-7e02-4913-bfd4-5e33922eb70e,Yes,5,3,Ads
29/07/2023,iOS,USA,Not too many ads compared to other apps.,2,125683fa-7e4a-4e24-a5b1-e17a67d5ed00,Yes,1,3,Ads
03/09/2023,Android,Australia,The app crashes sometimes when I'm adding new expenses. Please fix this issue soon!,1,84cc1423-ffb1-4a72-92c5-df14a74696da,Yes,1,2,Crashes and Bugs
06/07/2023,iOS,USA,"Search button is not working, can't find any destinations.",1,156be741-5106-4c51-ae58-fae44cc740d2,No,1,4,Crashes and Bugs
24/07/2023,Android,USA,"Ads are skippable, so it's not a big deal.",4,73f5ba66-3586-4efd-80e1-0e37c3f04dfc,No,5,0,Ads
27/07/2023,Android,UK,"The app is amazing, I planned my entire trip using it!",5,c469fb50-8c9c-476e-a9e5-17da1e81b8db,No,3,1,General Topics
26/08/2023,Android,USA,Best for travel planning.,2,611e7afc-cd2a-4286-8823-40464ed06eb7,No,3,5,General Topics
15/08/2023,Android,UK,"Overall, a decent app for organizing trips, but too many pop-ups can ruin the experience.",2,4ca6d6d0-bb98-4eb0-b994-cbfe6a31f5cb,No,3,1,Ads
23/07/2023,Android,UK,"I hate the unskippable ads, but the app itself is really helpful for managing travel plans.",2,560dcb25-8bcb-4c9b-aa81-bb7757fc76b0,No,4,4,Ads
29/08/2023,iOS,USA,"Not happy with the update, app feels slower and glitchy.",4,6217eac6-4214-4fbb-baa5-7a23a23425d0,No,3,0,Updates
24/09/2023,iOS,India,"Hate the update, it's full of bugs that need fixing ASAP.",3,75a2d434-9091-4392-affa-1719fb3923c2,No,0,2,Crashes and Bugs
17/07/2023,Android,India,"Since the update, app has been slow and unreliable, please fix it.",4,b162b887-650e-4462-acb0-909c6d56528b,No,3,2,Updates
24/09/2023,iOS,USA,The premium features are really helpful and the price is fair.,3,4b63013c-c5ea-4876-9f60-4ad2bd71a8bf,No,4,1,Premium Features
12/07/2023,Android,Brazil,"Update removed some useful features, app is less functional now.",3,e18c191d-0d5e-46b9-a771-9d0fcfd76db9,No,3,2,Updates
15/08/2023,iOS,USA,Perfect for group trips.,3,d4769d0f-7cbd-4bef-a6c8-b17520d2d2d9,No,2,4,General Topics
17/08/2023,iOS,UK,Notifications can be too much.,3,e0a939a0-2e66-4f57-93a7-afb2c970b668,No,4,4,User Feedbacks & Recommendations
29/07/2023,iOS,Australia,"Premium is reasonably priced, makes the app much more functional.",2,93ed7896-b4bf-44d6-80be-14e8a3609e3b,No,3,3,Premium Features
02/07/2023,iOS,UK,"Great value for money, the premium features are really useful.",3,6af174b2-3b96-49e4-9c40-60150caa8739,No,2,0,Premium Features
16/07/2023,iOS,UK,"The app sometimes lags, but overall it's the best for keeping my travels organized.",4,3b1318c2-6a8f-45b1-920e-39ed54b3e5a5,No,2,0,Crashes and Bugs
22/08/2023,Android,Australia,"Update broke the app, can't even open it without it crashing.",1,45dd360b-9ba9-4b4a-90e1-57fc65a24c58,Yes,2,1,Crashes and Bugs
16/07/2023,Android,UK,"Simple, yet effective app.",2,1d8ea6ab-022b-48a7-ac32-ea6e1d648b28,No,5,0,General Topics
22/07/2023,Android,India,Notifications about my flight delays saved me a lot of time at the airport. Super useful!,3,65d3d012-ce2c-4d89-b1ff-0a9b92b2da91,No,3,3,General Topics
26/09/2023,Android,UK,Good deals on hotels.,2,bff763c8-ad8f-473e-9f03-297829f6cde6,No,4,3,General Topics
10/08/2023,Android,USA,Frequent freezing issues.,2,57948c0d-3684-4624-94ca-4854fe8cb570,No,4,1,Crashes and Bugs
19/07/2023,iOS,USA,"Perfect for planning solo trips, but I wish it had better group planning features.",4,2c6d3e8f-2dbc-454a-8d7d-6b73432cb314,No,1,1,User Feedbacks & Recommendations
05/09/2023,Android,UK,Useful for managing trips.,3,c2f80ac4-6b18-4617-b816-29c102ef46e5,No,5,1,General Topics
06/08/2023,iOS,India,"No more lags after the update, app feels so much faster now.",3,80b9e9af-453b-4c79-96a6-28adb04325a6,No,5,3,Updates
23/07/2023,iOS,India,I'm having a hard time syncing the app with my Google Calendar.,4,2fa4be7b-3f81-458f-9269-74c81a268ce1,No,5,1,Crashes and Bugs
30/08/2023,Android,USA,Keeps my plans neat.,4,acecaa6d-954a-464e-9ad3-2ad720ec10bc,No,5,2,General Topics
13/07/2023,Android,UK,Good but needs offline mode.,4,26034520-d086-492a-96c3-d27817133270,No,2,1,User Feedbacks & Recommendations
18/08/2023,Android,India,"I enjoy the new layout after the update. It 's cleaner, but still needs some performance improvements.",2,e32dbc7f-dd11-429b-866e-b8b3f2c552d5,No,5,2,Updates
20/07/2023,iOS,UK,Update added some cool features that make the app more user-friendly.,4,843e90a0-c7ce-46e1-b5d8-21c0b1b50991,No,3,0,Updates
10/08/2023,iOS,USA,This app makes planning my travels so much easier! I can keep track of everything in one place.,3,997216e4-a949-4b89-bdcc-3f88db68f651,No,1,2,General Topics
24/08/2023,Android,Brazil,TravelTracker's recommendations for nearby attractions are pretty accurate!,2,7441d978-4a95-4328-b0ba-bbfb02e58c47,No,5,2,User Feedbacks & Recommendations
24/07/2023,Android,Australia,Ads are bearable considering the app is free.,5,c4cd1ff5-7780-4eee-88fb-2fec068a25f8,No,4,1,Ads
01/08/2023,iOS,UK,Can't even use the app without being bombarded with ads.,4,5f68b7e3-7728-4a58-851d-c1ecc1d297d1,Yes,2,4,Ads
14/09/2023,Android,Brazil,"Great interface, but slow.",5,87e15afa-cd7f-4de0-8481-a174b9fdc18c,No,1,1,General Topics
23/07/2023,iOS,Australia,"The ads aren 't too bad, but sometimes they pop up at the most inconvenient times.",4,056e089c-f821-44f2-a668-af5099f6364b,No,3,2,Ads
04/07/2023,iOS,UK,"Ads pop up constantly, ruins the experience.",4,efcc6a14-e4d9-44a4-bb07-78d8b40818b7,No,3,5,Ads
